Stname,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019,State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,Alabama,6,10,11,8,6,3,11,13,9,3,2,24,25,24,64,25,38,41,36,66
Alabama,1,0,1,0,0,0,0,0,0,1,0,1,1,0,3,1,2,2,0,0,Alaska,2,2,3,3,3,4,3,10,6,7,7,11,10,14,8,9,15,10,11,3
Alabama,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Arizona,2,3,4,4,13,10,10,2,8,7,2,15,13,32,21,12,13,28,7,10
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Arkansas,7,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,6,4,18
Alabama,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,California,96,95,97,86,48,95,85,75,74,117,129,92,70,112,73,98,134,145,104,144
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Colorado,0,0,1,0,0,0,0,0,3,1,3,0,0,0,0,0,0,4,3,8
Alabama,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Connecticut,3773,3597,4631,1403,1348,1810,1788,3058,3896,4156,3068,3039,2657,2925,2360,2541,1748,2051,1859,1233
Alabama,0,0,0,0,0,0,0,1,0,0,0,2,1,3,2,0,1,0,0,3,Delaware,167,152,194,212,339,646,482,715,772,984,656,873,669,509,417,435,506,608,520,641
Alabama,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2,District of Columbia,11,17,25,14,16,10,62,116,74,61,42,0,0,35,40,121,103,84,79,100
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Florida,54,43,79,43,46,47,34,30,88,110,84,115,118,138,155,166,216,210,169,162
Alabama,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Georgia,0,0,2,10,12,6,8,11,35,40,10,32,31,8,4,8,4,8,19,18
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Idaho,4,5,4,3,6,2,7,9,9,16,9,4,5,19,9,9,17,20,9,14
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,Illinois,35,32,47,71,87,127,110,149,108,136,135,194,204,337,233,287,237,273,276,395
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Indiana,23,26,21,25,32,33,26,55,42,83,78,94,74,110,110,138,152,142,155,189
Alabama,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Iowa,34,36,42,58,49,89,97,123,109,108,85,100,165,247,194,318,232,255,283,303
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Kansas,17,2,7,4,3,3,4,8,16,18,10,17,19,34,20,23,39,40,30,35
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kentucky,13,23,25,17,15,5,7,6,5,1,5,3,14,40,44,49,33,20,22,22
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Louisiana,8,8,5,7,2,3,1,2,3,0,3,2,7,0,2,3,7,12,4,8
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Maine,71,108,219,175,225,247,338,529,908,970,751,1006,1111,1373,1401,1201,1487,1850,1405,2167
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Maryland,688,608,738,691,891,1235,1248,2576,2218,2024,1617,1351,1651,1197,1373,1728,1866,1891,1382,1417
Alabama,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,Massachusetts,1158,1164,1807,1532,1532,2336,1432,2988,4582,5256,3263,2476,5138,5290,5304,4224,198,410,16,7
Alabama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,Michigan,23,21,26,12,27,62,55,51,92,103,95,104,98,168,127,148,221,291,262,413
Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,Minnesota,465,461,867,474,1023,917,914,1238,1282,1543,1960,2124,1515,2340,1416,1805,2126,2318,1541,1528
